Tweet ID,Text,Username,Time,Location
1327973258566774787,RT @DrEricDing: 📍NEW: Chilling video of El Paso jail inmates hired to move bodies of #COVID19 deceased patients into mobile overflow morgue…,elenab,2020-02-03 00:00:00,USA
1327973264774279170,RT @DavidNakamura: Career officials are trying to quietly work on the pandemic response and take notes on shortcomings in hopes that the Bi…,Murf,2020-02-03 00:00:00,Canada
1327973316070682624,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",President Elect McKraken,2020-02-03 00:00:00,USA
1327973336635367424,"Officials Demand Mandatory Coronavirus Vaccination, Else Thou Shalt Not Eat

https://t.co/yjQeWXvWk7",Mark Stoval,2020-02-03 00:00:00,USA
1327973340242276352,"RT @sunilkapoor8: Finally #motabhai @AmitShah with plan to help #Delhi when #Kejri Surrenders.

Centre Assures 750 #ICU Beds; Daily #COVID-…","SunilKapoor 4 #Plasma,Free #Cancer other Treatment",2020-02-03 00:00:00,India
1327973346982715396,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",Troy Pittman,2020-02-03 00:00:00,USA
1327973349155336193,"RT @TruePakLover: #EndiaWeShallSurpriseUAgain that both countries can deal with the coronavirus pandemic in their own ways"".",فالو بیک 💯 ۔ True Pak Lover 🇵🇰,2020-02-03 00:00:00,Pakistan
1327973349989904385,RT @prafullaketkar: There is a stark difference in the attitude of the diplomatic community towards @RSSorg . Despite many in Bharat likes…,chowkidaar praveen kumar🇮🇳,2020-02-03 00:00:00,India
1327973351491575809,RT @SaraCarterDC: Anomalies that must be investigated!!! If the US Attys in PA don’t do it  @RepMattGaetz we’re worse than a banana republi…,"A TRUE VISIONARY, TRUMP !",2020-02-03 00:00:00,USA
1327973374300200960,RT @TruePakLover: #EndiaWeShallSurpriseUAgain coronavirus infected patients into the IOJ&amp;K and committing ceasefire violations along the Li…,فالو بیک 💯 ۔ True Pak Lover 🇵🇰,2020-02-03 00:00:00,Pakistan
1327973395078598656,"RT @GOPChairwoman: It is because of @realDonaldTrump and his administration that in less than a year, enough coronavirus vaccines to immuni…",RareGemUSA,2020-02-03 00:00:00,USA
1327973427127336960,RT @LicypriyaK: .@theicai trying to conduct exams forcefully for 20 days during this air pollution crisis &amp; COVID19 situation is very immat…,Chirag A. Dalal,2020-02-03 00:00:00,India
1327973441090187266,"RT @WORLDMUSICAWARD: #TXT who have the World's best-selling album this week, drop new MV and meaningful song #WeLostTheSummer, copenned by…",ᴮᴱ⟭⟬ ⁷ρ𝕣ⅈꪗꪖꪀ𝕜ꪖ⁵ ✜,2020-02-03 00:00:00,India
1327973446995771399,"RT @PandaJay: Important thread worth reading by all concerned about the rise of Covid19 cases once again in Delhi, &amp; the steps being taken…",Om Prakash,2020-02-03 00:00:00,India
1327973471016546304,RT @anandmahindra: Just the kind of centre-state coordination we’d like to see when the lives of citizens are at stake. 👏👏👏,Rao akshay kumar,2020-02-03 00:00:00,India
1327973513198702595,"RT @newschambers: The German Government's new #COVID19 campaign is very clever and, dare I say it, funny.

https://t.co/bP8jTNFShr",Carolina Caceres,2020-02-03 00:00:00,Canada
1327973521109123072,Dedicated multi-department teams to visit all private hospitals in Delhi for inspection of availability of  COVID19… https://t.co/8s776CPwX4,ANI,2020-02-03 00:00:00,India
1327973551635189760,"It's alarming because official 140 +ve(rare event) reported in #Vadodara by Govt while #VMC number is still 90.

CO… https://t.co/w8a6HxcXCl",Yash Patel • યશ પટેલ,2020-02-03 00:00:00,India
1327973564742475776,"RT @GOPChairwoman: It is because of @realDonaldTrump and his administration that in less than a year, enough coronavirus vaccines to immuni…",grateful,2020-02-03 00:00:00,USA
1327973567024275457,"RT @Engrumair012: Mr @ImranKhanPTI They are youth 
Give'em some peace of mind
Give'em some sort of relaxation
They are struggling since day…",Talha Waleed,2020-02-03 00:00:00,Pakistan
1327973589321199616,"RT @elite_wyatt: Like I’ve Been Asking Since Testing Started-
Is The Covid19 Testing Just a DNA Grab? 🤨😏🤔","A TRUE VISIONARY, TRUMP !",2020-02-03 00:00:00,USA
1327973589497352193,RT @S_Evangelina: “They missed the holidays. Life went on. There were happier years later.” Donald G. McNeil says grow up and do the right…,Stauers,2020-02-03 00:00:00,Canada
1327973592705814528,Wow! This is amazing,New Age Philosopher,2020-02-03 00:00:00,India
1327973613077626880,RT @XposeTrophyHunt: Rapid coronavirus mutations in mink could produce a more deadly version of the disease and even render vaccines useles…,Mona Ambegaonkar,2020-02-03 00:00:00,India
1327973615267037187,Takes a lot to make such admissions.,SK,2020-02-03 00:00:00,India
1327973627472601089,RT @HealthcareGlob1: Coronavirus denier got a double lung transplant after spending four months on ventilation - BGR https://t.co/PnqlIrBap…,RN_Independent😷,2020-02-03 00:00:00,USA
1327973641762476032,RT @AusHCIndia: The @RSSorg has been actively supporting the community during #COVID19. I met with Sarsanghchalak Dr Mohan Bhagwat who shar…,Rahul BHV Sharma🇮🇳,2020-02-03 00:00:00,India
1327973684003344384,RT @Engrumair012: Our so-called education ministry is yet again failed to deliver just like other ministries. Students are worried about th…,Talha Waleed,2020-02-03 00:00:00,Pakistan
1327973693784350723,"RT @pendown: Son informs me Hindi teacher's husband died of #Covid19 today. He was just 43. He was in home quarantine, but later shifted to…",Aneesh ✋🏼,2020-02-03 00:00:00,India
1327973696519204866,"RT @GOPChairwoman: It is because of @realDonaldTrump and his administration that in less than a year, enough coronavirus vaccines to immuni…",justsaying - Parlar: Chris@booboochika,2020-02-03 00:00:00,USA
1327973700742770689,"@RobertaGM @FireBre476 @CTVNews @SherryLeigh5 Again, even hospitals can't diagnose someone with #covid19 unless the… https://t.co/cfkUiCFpUk",Tom Herron,2020-02-03 00:00:00,USA
1327973718707023880,The Return of the Rejvkommissionen!,Lars Wilderäng,2020-02-03 00:00:00,Sweden
1327973742035804162,RT @mcten: Suicide figures are up 200% since lockdown. Could 2 followers please copy and re-post this tweet? We’re trying to demonstrate th…,Black,2020-02-03 00:00:00,USA
1327973763577737217,"RT @maddow: ""After a week in which more than 750,000 Americans were diagnosed with the novel coronavirus, almost none of his backers wore m…",Tristle,2020-02-03 00:00:00,USA
1327973781198008322,"More on how it relates to the current pandemic.

 https://t.co/GLwITHkwOL",Digby Dee,2020-02-03 00:00:00,USA
1327973788152180738,RT @SaraCarterDC: Anomalies that must be investigated!!! If the US Attys in PA don’t do it  @RepMattGaetz we’re worse than a banana republi…,Orwell's Canada,2020-02-03 00:00:00,Canada
1327973794963664896,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",Domestic Goddess🇺🇸,2020-02-03 00:00:00,USA
1327973798335885322,"RT @TruePakLover: #EndiaWeShallSurpriseUAgain 
Haider accused Indian forces of being “more focused on committing ceasefire violations” than…",فالو بیک 💯 ۔ True Pak Lover 🇵🇰,2020-02-03 00:00:00,Pakistan
1327973817625415680,"RT @kevinbparry: Everyone keeps saying, “another lockdown is coming”. When did the first one end I haven’t left my house in 8 months what h…",Spicy Boi,2020-02-03 00:00:00,Canada
1327973848994738176,RT @MollyJongFast: So the president has completely given up on even trying to pretend that he cares about the pandemic that’s ravaging the…,sofie,2020-02-03 00:00:00,USA
1327973871971037185,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",SLE 🇺🇸,2020-02-03 00:00:00,USA
1327973881005666305,"RT @EconomicTimes: #COVID19 in India: With 41,100 new cases, total tally crosses 88-lakh mark | https://t.co/6iI4WpK7o9 https://t.co/FbYWpg…",Arnab Dey,2020-02-03 00:00:00,India
1327973923124879363,RT @IngrahamAngle: Translation: Get ready to be locked down.  Because lockdowns worked so well in Europe!,DebvantVoort,2020-02-03 00:00:00,Canada
1327973940036325378,"RT @donwinslow: Donald Trump has not attended a coronavirus task force meeting in 'at least five months,' said one senior administration of…",Our Children Deserve Better,2020-02-03 00:00:00,USA
1327973963780288512,"Iran reports record daily coronavirus cases of 12,543 https://t.co/Xr8SlJ3v8A",Middle-East & Pakistan Times of News,2020-02-03 00:00:00,Pakistan
1327973972172894208,RT @AusHCIndia: The @RSSorg has been actively supporting the community during #COVID19. I met with Sarsanghchalak Dr Mohan Bhagwat who shar…,Ashish Singh,2020-02-03 00:00:00,India
1327974004532002822,"RT @PandaJay: Important thread worth reading by all concerned about the rise of Covid19 cases once again in Delhi, &amp; the steps being taken…",Sachin Sharma,2020-02-03 00:00:00,India
1327974010332712960,RT @scroll_in: #Coronavirus: The record high number of new cases in Delhi is a ‘direct effect of air pollution’ https://t.co/tj11LQ267X htt…,is Now Pradeep_SRIRAM ™ 🏹,2020-02-03 00:00:00,India
1327974055039930369,I voted against Indiana Governor Holcomb due to lockdown policy. I voted Libertarian.,erik willey,2020-02-03 00:00:00,USA
1327974072425336832,"My God, what have we become.",Biden won fair and square,2020-02-03 00:00:00,USA
1327974107221159936,RT @nhannahjones: They are being paid $2 an hour. https://t.co/q12I5zeb7s,Waves of Babies,2020-02-03 00:00:00,Canada
1327974120001138689,"so when are we gonna hold leaders like Nancy Pelosi, Lori Lightfoot, Gavin Newsom, and others for being hyporcrites… https://t.co/8UbbhTNnc9",Freckled List-erty 🔥,2020-02-03 00:00:00,USA
1327974124891803650,They should Outlaw masks so we can see who these people are but if you noticed the Democrats want to keep masks on… https://t.co/MpMAKYUvmE,jolady,2020-02-03 00:00:00,USA
1327974131711795200,#Testosterone replacement therapy does NOT appear associated with a worse clinical outcome in men diagnosed with… https://t.co/41r8P4u9fy,Journal Sexual Med.,2020-02-03 00:00:00,USA
1327974141400666112,RT @spark_show: Let’s stop calling it a lockdown. Let’s call it by it’s real name. A genocide. https://t.co/AjJHMldKs4,erik willey,2020-02-03 00:00:00,USA
1327974148937711618,"RT @lyssaslounge: This is an excellent thread about the dangerous failure of Sweden‘s herd immunity #COVID19 strategy. (Looking at you, Tru…",Gail,2020-02-03 00:00:00,Canada
1327974170949423104,RT @anandmahindra: Just the kind of centre-state coordination we’d like to see when the lives of citizens are at stake. 👏👏👏,मुकेश शर्मा,2020-02-03 00:00:00,India
1327974184530505728,"RT @morethanmySLE: Thanks to Donald Trump not taking #COVID19 seriously, calling it a Democratic hoax, having maskless rallies that resulte…",Caligirl,2020-02-03 00:00:00,USA
1327974194395688960,RT @RexChapman: My god,GinaTee💙,2020-02-03 00:00:00,USA
1327974208945623042,"More oxygen cylinders, High Flow Nasal Cannula and other necessary equipments to be made available to Delhi Governm… https://t.co/JjH4Gu0iGS",ANI,2020-02-03 00:00:00,India
1327974225450201088,"""Centre will also help the #Delhi government in getting BiPAP machines to increase the number of ICU beds at Delhi… https://t.co/GxxkPflMNd",India.com,2020-02-03 00:00:00,India
1327974240109342721,@JackPosobiec COVID19 was designed to be Biden's running mate.,Sandy Lacroix,2020-02-03 00:00:00,USA
1327974252084019200,RT @LicypriyaK: .@theicai trying to conduct exams forcefully for 20 days during this air pollution crisis &amp; COVID19 situation is very immat…,Shantii,2020-02-03 00:00:00,India
1327974274456424448,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",President Elect I fight 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲,2020-02-03 00:00:00,USA
1327974277870710784,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",The Blind Penguin,2020-02-03 00:00:00,USA
1327974302659055617,RT @AlArabiya_Eng: #Greek police announce a ban on public gatherings of four or more people as hospitals were overwhelmed with #coronavirus…,#FreeSpeech,2020-02-03 00:00:00,Norway
1327974316839899138,"RT @maddow: ""After a week in which more than 750,000 Americans were diagnosed with the novel coronavirus, almost none of his backers wore m…",welander,2020-02-03 00:00:00,USA
1327974336721006592,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",President-Elect Batz,2020-02-03 00:00:00,USA
1327974367385460742,RT @anandmahindra: Just the kind of centre-state coordination we’d like to see when the lives of citizens are at stake. 👏👏👏,पंडित संदीप वत्स,2020-02-03 00:00:00,India
1327974379574226950,"RT @Jaywalk90075373: @MayorOfLA Deaths per million in no lockdown Sweden versus anti- human, insane, authoritarian pro- lockdown EU. Would…",erik willey,2020-02-03 00:00:00,USA
1327974384426913792,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",President-Elect DMSOB,2020-02-03 00:00:00,USA
